id,region_id,state_id,city_id
1,4,12,1
2,4,13,2
3,4,12,3
4,3,8,4
5,3,9,5
6,3,10,6
7,3,11,7
8,2,3,8
9,2,4,9
10,2,5,10
11,2,5,11
12,2,6,12
13,2,3,13
14,2,6,14
15,2,7,15
16,1,1,16
17,1,2,17
18,1,1,18
19,5,14,19
20,5,15,20
21,5,15,21
22,5,14,22
23,1,1,23
24,1,1,24
25,1,1,25
26,1,1,26
27,1,1,27
28,1,1,28
29,1,1,29
30,1,1,30
31,1,1,31
32,1,1,32
33,1,1,33
34,1,1,34
35,1,1,35
36,1,1,36
37,1,1,37
38,1,1,38
39,1,1,39
40,1,1,40
41,1,2,41
42,1,2,42
43,1,2,43
44,1,2,44
45,1,42,45
46,1,42,46
47,1,42,47
48,1,42,48
49,1,44,49
50,1,45,50
51,2,4,51
52,2,6,52
53,2,6,53
54,2,6,54
55,2,6,55
56,2,14,56
57,2,41,57
58,2,41,58
59,2,41,59
60,2,41,60
61,3,8,61
62,3,8,62
63,3,8,63
64,3,8,64
65,3,8,65
66,3,8,66
67,3,9,67
68,3,9,68
69,3,9,69
70,3,9,70
71,3,11,71
72,3,11,72
73,3,11,73
74,3,11,74
75,3,46,75
76,3,46,76
77,3,46,77
78,3,46,78
79,3,47,79
80,3,48,80
81,3,49,81
82,4,7,82
83,4,7,83
84,4,12,84
85,4,13,85
86,5,6,86
87,5,12,87
88,5,12,88
89,5,12,89
90,5,12,90
91,5,12,91
92,5,12,92
93,5,14,93
94,5,14,94
95,5,14,95
96,5,14,96
97,5,14,97
98,5,42,98
99,1,2,99
100,1,2,100
101,1,44,101
102,1,44,102
103,5,12,103
104,2,5,104
105,3,11,105
106,1,1,106
107,5,12,107
108,4,13,108
